id,gene,chr,fpos,tpos,strand,Sample1,Sample2,Sample3,Sample4,Sample5,Sample6,Sample7,Sample8,Sample9,Sample10,Sample11,Sample12,Sample13,Sample14,Sample15,Sample16,Sample17,Sample18,Sample19,Sample20,Sample21,Sample22,Sample23,Sample24,Sample25,Sample26,Sample27,Sample28,Sample29,Sample30,Sample31,Sample32,Sample33,Sample34,Sample35,Sample36,Sample37,Sample38,Sample39,Sample40,Sample41,Sample42,Sample43,Sample44,Sample45,Sample46,Sample47,Sample48,Sample49,Sample50
cg00001480,Gene3703,20,27258112,27258112,+,0.56,0.3,0.62,0.77,0.81,0.55,0.69,0.41,0.77,NA,0.63,0.99,0.6,0.41,0.23,0.31,0.27,0.39,0.06,0.97,0.94,0.88,0.35,0.1,0.16,0.39,0.15,0.56,0.26,0.78,0.73,NA,0.0,0.09,0.41,NA,0.31,0.83,0.07,0.52,0.42,NA,0.02,0.72,0.61,0.46,0.64,0.47,0.38,0.93
cg00001481,Gene4516,X,27356957,27356957,-,0.58,0.68,0.54,0.35,0.56,0.2,0.12,0.65,0.46,0.45,0.85,0.09,0.5,0.87,0.24,0.87,0.79,0.25,0.35,0.49,0.6,0.83,0.21,NA,0.27,0.48,0.2,0.08,0.91,0.22,NA,0.6,0.15,0.37,0.51,0.31,0.73,0.42,0.58,0.17,0.56,0.94,0.96,0.09,0.27,0.44,0.0,0.89,0.97,0.42
cg00001482,Gene4716,19,24622915,24622915,+,0.95,NA,0.91,0.75,0.65,0.35,0.7,0.62,0.31,0.77,0.98,0.37,0.32,0.69,0.06,0.45,0.69,0.46,0.93,0.38,0.6,0.37,0.26,0.61,NA,0.56,0.9,0.95,0.59,0.84,0.62,0.89,0.24,0.58,0.18,0.0,0.35,0.69,0.82,0.61,0.15,0.99,0.01,0.48,0.71,0.98,0.68,0.98,0.24,0.49
cg00001483,Gene3252,22,55471566,55471566,-,0.46,0.69,0.94,0.31,0.97,NA,0.73,0.62,0.25,0.94,0.13,0.89,0.87,0.35,0.97,0.97,0.23,0.53,0.12,0.63,0.76,0.08,0.59,0.73,0.71,0.12,0.92,0.96,0.91,0.52,0.78,0.62,NA,0.74,0.75,0.19,0.45,0.46,0.67,0.49,0.87,0.27,0.52,0.65,0.72,0.31,0.36,0.13,0.91,0.93
cg00001484,Gene1956,13,51732554,51732554,-,0.97,0.14,0.8,0.97,0.06,0.62,0.15,0.59,0.34,0.61,0.57,0.25,0.54,0.31,0.19,0.77,0.82,0.81,0.83,0.14,0.02,0.15,0.61,0.88,0.17,0.21,0.92,0.49,0.07,0.33,0.2,0.31,0.69,0.32,0.18,0.64,0.65,0.9,0.88,0.93,0.54,0.1,0.83,0.47,0.54,0.38,0.48,0.2,0.5,0.62
cg00001485,Gene2504,21,16518857,16518857,-,0.37,0.16,0.9,0.45,0.68,0.23,0.28,0.99,0.5,0.52,0.33,0.61,0.98,0.51,0.59,0.57,0.31,0.93,0.07,0.8,0.09,0.85,0.09,0.54,0.71,0.28,0.28,0.37,0.75,0.83,0.65,0.29,0.31,NA,0.02,0.07,0.12,0.07,1.0,0.13,0.8,0.74,0.47,0.3,0.96,0.22,0.43,0.85,0.45,0.8
cg00001486,Gene906,16,53156535,53156535,-,0.08,0.19,0.27,0.87,0.4,0.85,0.57,0.54,NA,0.38,0.96,0.95,0.82,NA,0.5,0.71,0.41,0.95,0.38,0.03,0.82,0.76,NA,0.59,0.98,0.51,0.41,0.38,0.69,NA,0.58,0.67,0.66,0.62,NA,0.21,0.78,0.54,0.75,0.19,0.69,0.5,0.83,0.82,0.71,0.63,0.01,0.91,0.15,0.49
cg00001487,Gene302,9,91090718,91090718,+,0.12,0.01,0.94,0.52,0.75,0.59,0.29,NA,0.42,0.05,0.39,0.46,NA,0.37,0.65,0.48,0.03,0.62,NA,0.45,0.46,0.66,0.21,0.71,0.47,0.93,0.63,0.97,0.58,0.56,0.02,0.41,0.21,0.81,0.3,0.19,0.45,NA,0.7,0.07,0.16,0.21,0.09,0.23,0.41,0.26,0.96,0.4,0.31,0.3
cg00001488,Gene4601,Y,60128085,60128085,+,0.39,0.34,NA,0.44,0.25,0.93,0.13,0.26,0.98,0.51,0.71,0.56,0.42,0.44,0.11,0.2,NA,0.92,0.49,0.48,0.06,0.68,0.99,0.67,0.6,0.25,0.72,0.99,0.28,0.96,0.52,0.04,0.73,0.82,0.99,0.55,NA,0.66,0.47,0.62,0.14,0.64,0.44,0.77,0.79,0.7,NA,0.83,0.69,0.5
cg00001489,Gene2469,9,73979561,73979561,-,0.37,0.64,NA,0.32,0.59,0.9,0.48,0.0,0.14,NA,0.57,0.12,0.1,0.1,0.85,0.02,0.82,0.25,0.72,0.64,0.48,0.72,0.89,0.93,0.13,0.23,NA,0.2,0.72,0.67,0.42,0.46,0.24,0.84,0.51,0.38,0.36,0.67,0.37,0.3,0.55,0.68,0.53,0.14,0.75,NA,0.88,0.84,0.79,0.5
cg00001490,Gene212,12,73831254,73831254,+,0.64,0.34,0.58,0.16,0.62,0.86,0.53,0.17,0.13,0.12,0.63,0.6,0.33,0.55,0.92,0.17,0.41,0.73,0.12,0.25,0.38,NA,NA,0.46,0.3,0.25,0.91,0.45,0.6,0.05,0.65,0.32,0.68,0.54,0.39,0.28,NA,0.37,0.9,0.89,0.2,NA,0.27,0.68,0.92,0.28,NA,0.83,0.5,0.2
cg00001491,Gene353,17,5731290,5731290,-,0.15,0.21,0.01,0.57,0.68,0.12,0.66,0.45,0.42,0.31,0.74,0.88,0.65,0.71,0.02,0.57,0.23,0.79,0.77,0.87,0.15,0.08,0.99,0.4,0.83,0.98,0.28,0.13,0.55,0.16,0.18,NA,0.24,0.03,0.75,0.51,0.28,0.63,0.19,0.03,0.09,NA,0.07,0.08,0.5,0.71,0.23,0.77,NA,0.81
cg00001492,Gene3837,10,33208830,33208830,+,0.6,0.84,0.24,0.83,0.09,0.11,0.41,0.83,0.53,0.68,0.01,0.37,0.18,0.79,0.59,0.0,0.33,0.94,0.25,0.4,0.19,0.69,0.45,0.55,0.31,0.53,0.16,0.13,0.29,0.48,0.93,0.7,0.14,0.3,0.58,0.63,0.86,NA,0.14,0.37,0.65,0.05,0.19,0.31,0.25,0.91,0.7,0.34,0.8,0.07
cg00001493,Gene2784,1,1769523,1769523,-,0.49,0.15,0.6,0.11,0.57,0.03,0.08,0.34,0.84,0.38,0.0,0.09,NA,0.12,NA,0.52,0.11,0.83,0.66,0.24,0.1,0.55,0.02,0.95,0.02,0.23,0.61,0.56,0.4,0.81,0.22,0.19,0.78,0.29,0.76,0.52,0.19,0.66,0.76,0.06,NA,0.95,0.4,0.82,0.5,0.42,0.48,NA,0.11,0.9
cg00001494,Gene3090,10,88829290,88829290,-,0.02,0.32,0.84,0.18,0.36,0.75,0.52,0.88,0.28,0.91,1.0,0.34,0.95,0.26,0.44,0.84,0.6,0.32,0.22,0.71,0.22,0.86,0.04,0.02,0.34,0.86,0.13,NA,0.76,0.03,0.63,0.8,0.94,0.28,0.1,0.68,0.58,0.15,0.54,0.18,0.8,0.81,0.96,0.4,0.36,0.38,0.43,0.6,0.86,0.46
cg00001495,Gene4439,13,24247277,24247277,-,0.17,0.86,0.69,0.94,0.84,0.48,0.14,0.3,0.02,NA,0.51,NA,0.8,0.47,0.28,0.94,0.47,0.7,0.58,0.83,0.71,0.68,0.89,0.29,0.52,0.1,0.53,0.15,0.43,0.01,0.8,0.55,0.82,0.51,NA,0.69,0.33,0.18,0.14,0.43,0.1,0.51,0.0,0.74,0.62,0.89,0.08,0.58,0.71,0.49
cg00001496,Gene390,8,44488917,44488917,+,0.24,0.43,0.5,0.53,0.37,0.19,0.95,0.56,0.79,0.89,0.4,0.58,0.28,0.99,0.49,0.01,0.61,0.1,0.46,0.67,0.94,0.51,0.86,0.38,0.55,0.14,0.96,0.85,NA,0.19,0.68,0.19,0.12,0.13,0.16,0.71,0.85,0.85,0.82,0.68,0.16,0.92,0.89,0.21,0.65,0.94,0.18,0.34,0.42,0.51
cg00001497,Gene2615,18,10899070,10899070,+,0.78,0.61,0.56,NA,0.16,0.5,0.82,0.87,0.97,0.99,0.59,0.6,0.47,0.67,0.6,0.69,0.01,0.89,0.01,0.5,0.16,0.73,0.7,0.39,0.74,0.06,0.63,0.69,NA,0.61,NA,0.58,0.57,0.18,0.5,0.78,0.06,0.39,0.25,0.38,0.92,0.33,0.06,0.76,0.86,0.23,0.65,0.44,0.59,0.85
cg00001498,Gene2259,16,75785873,75785873,+,0.23,0.29,0.2,0.17,0.48,0.33,0.71,0.38,0.99,0.15,0.4,0.1,0.27,NA,0.42,0.52,0.69,0.06,0.08,0.49,0.44,NA,0.45,0.68,0.71,0.27,0.83,0.39,0.99,0.73,0.9,0.98,0.68,0.98,0.74,0.45,0.27,0.1,0.91,0.29,0.49,0.48,0.33,0.95,0.16,0.92,0.07,0.78,NA,0.58
cg00001499,Gene3564,4,83513305,83513305,+,0.2,0.88,NA,0.66,0.18,0.88,0.46,0.89,0.08,0.5,0.21,0.96,0.56,0.7,0.36,0.51,0.11,0.02,0.64,0.72,0.9,0.19,0.37,0.25,0.63,0.76,0.47,0.92,0.88,0.08,0.54,0.89,0.43,0.61,0.52,NA,0.15,0.29,0.88,0.22,0.2,0.75,NA,0.19,0.37,0.51,0.71,0.2,0.96,NA
cg00001500,Gene4407,8,75102570,75102570,-,0.07,0.16,0.88,0.32,0.89,0.99,0.12,0.17,0.46,0.35,0.04,0.08,0.31,0.24,0.83,0.18,0.22,0.29,0.23,0.83,0.3,NA,0.39,0.65,0.5,0.99,NA,0.32,0.67,0.14,0.17,0.44,NA,0.89,0.82,0.85,0.06,0.17,0.2,NA,0.65,0.92,0.55,0.56,0.25,0.3,0.79,0.96,0.94,0.5
cg00001501,Gene3282,4,39083741,39083741,+,0.01,0.78,0.06,0.46,0.04,0.13,0.07,0.35,0.3,0.98,0.22,0.1,0.21,0.51,0.84,0.35,0.99,0.52,0.61,0.73,0.88,0.81,0.89,0.53,0.48,0.04,0.9,0.62,0.4,0.01,0.04,0.71,0.06,0.83,0.94,0.96,0.47,0.39,NA,0.89,0.15,0.4,0.0,0.19,0.32,0.69,0.18,0.46,0.04,0.77
cg00001502,Gene3155,21,41216888,41216888,-,0.54,0.55,0.72,0.39,NA,0.82,0.48,0.6,0.62,0.25,0.16,0.37,0.3,0.33,0.28,0.23,0.98,0.25,0.81,0.04,0.03,0.42,0.96,0.84,0.32,0.8,0.16,0.13,0.35,0.92,0.03,0.7,0.52,0.93,0.62,0.93,0.58,0.03,0.39,0.64,0.83,0.56,0.73,0.79,0.19,0.21,0.89,0.78,0.57,0.48
cg00001503,Gene4935,Y,15807372,15807372,-,0.27,0.06,0.74,0.52,0.17,0.24,0.03,0.37,0.57,0.25,0.62,0.57,0.68,0.45,NA,0.85,0.71,0.49,0.3,0.57,0.05,NA,0.41,0.95,0.9,0.15,0.33,0.01,0.04,0.59,0.66,0.26,0.43,0.05,0.57,0.05,0.92,0.1,0.11,0.68,0.21,0.92,NA,0.84,0.3,NA,NA,0.26,0.51,0.11
cg00001504,Gene2341,15,28793564,28793564,-,0.58,0.95,0.49,0.96,0.57,0.3,0.1,0.31,0.28,0.23,0.04,0.25,0.75,0.79,0.26,0.79,0.87,0.97,0.6,0.38,0.9,0.36,NA,0.58,0.36,0.91,0.77,0.15,0.99,NA,0.94,0.52,0.18,0.24,0.53,0.37,0.9,0.86,0.51,0.87,0.55,0.18,0.43,0.31,0.27,0.95,0.02,0.71,0.74,0.34
cg00001505,Gene122,Y,2662795,2662795,-,0.3,0.25,0.85,NA,0.96,0.91,0.49,0.1,0.51,0.74,0.19,0.76,NA,0.31,0.2,0.46,0.03,0.51,0.56,0.24,0.52,0.53,0.14,0.61,0.68,0.63,0.7,0.12,NA,0.69,0.6,0.97,0.44,0.39,0.42,0.98,0.53,NA,0.44,0.86,0.37,0.11,0.3,0.46,0.77,0.32,0.78,0.63,0.62,NA
cg00001506,Gene1105,3,88578012,88578012,+,0.49,0.77,0.13,NA,0.81,0.89,0.48,0.0,0.7,0.45,0.46,0.38,0.89,0.59,0.4,0.19,NA,0.92,0.61,0.2,0.43,0.22,0.34,0.87,0.56,0.91,0.79,0.14,0.06,0.03,0.88,0.52,0.34,0.37,0.16,0.52,0.81,NA,0.06,0.58,0.39,0.85,0.99,0.74,0.94,0.96,0.92,NA,0.77,0.03
cg00001507,Gene3897,7,72231514,72231514,+,0.99,0.78,0.15,0.95,0.16,0.67,0.3,0.92,0.73,0.71,0.35,0.52,0.7,0.99,0.03,0.39,0.33,0.52,0.12,NA,0.58,0.36,0.44,NA,0.52,0.92,NA,NA,0.5,0.33,0.6,0.28,0.29,0.06,0.35,0.42,0.37,0.46,0.91,0.74,0.52,1.0,0.1,0.2,0.39,0.52,0.1,0.05,0.87,0.35
cg00001508,Gene1071,14,58565651,58565651,+,0.59,0.93,0.18,0.83,0.15,0.56,0.73,0.79,0.75,0.88,0.24,0.78,0.14,0.4,0.39,0.95,0.73,0.9,0.22,0.98,0.71,0.53,0.56,0.55,0.45,0.89,0.89,0.84,0.44,0.51,0.97,0.27,0.75,0.72,0.43,0.9,0.48,0.93,0.1,0.95,0.17,0.11,0.46,0.1,0.2,0.7,0.19,0.67,0.61,0.98
cg00001509,Gene338,15,50390699,50390699,+,0.26,0.92,0.38,0.88,0.96,0.54,0.05,0.16,0.2,NA,0.66,0.05,0.42,0.07,0.56,0.6,0.06,0.01,0.32,0.56,0.65,0.04,0.79,0.86,0.23,0.82,0.93,0.76,0.91,NA,0.12,0.31,0.35,0.25,NA,0.2,NA,0.43,0.67,0.94,0.36,0.2,0.5,0.96,0.5,NA,0.87,0.76,0.73,0.41
cg00001510,Gene673,17,27003061,27003061,+,0.07,0.56,0.67,0.62,0.47,0.3,0.74,0.37,0.82,NA,0.15,0.29,0.13,0.41,0.77,0.36,0.76,0.96,0.07,0.66,0.32,0.4,0.14,0.95,0.27,0.23,0.32,0.53,0.07,0.52,0.18,NA,0.17,0.93,0.96,NA,0.41,0.5,0.27,0.41,0.93,0.88,0.66,0.94,0.44,0.97,NA,0.33,0.58,0.94
cg00001511,Gene1630,22,36881808,36881808,-,0.52,0.74,0.82,NA,0.49,0.93,0.41,0.27,0.68,0.72,0.25,0.81,0.12,0.76,0.74,0.42,0.1,0.01,0.01,NA,NA,NA,0.47,0.13,NA,0.3,0.97,0.35,0.99,0.57,NA,0.4,0.19,0.51,0.91,0.22,0.83,0.72,0.08,0.69,0.31,0.04,0.94,0.83,0.5,0.14,0.21,0.05,0.75,0.54
cg00001512,Gene3095,3,11579992,11579992,+,0.92,0.26,0.94,0.04,0.51,0.05,0.17,0.79,0.32,0.29,0.16,0.11,0.18,0.15,0.61,0.63,0.29,0.51,0.81,0.81,0.62,0.2,0.13,0.43,0.44,0.78,0.25,0.54,0.07,0.05,0.39,0.12,0.46,0.77,0.93,0.93,0.83,0.9,0.44,0.49,0.49,0.21,0.05,0.42,0.42,0.6,NA,0.12,0.44,0.03
cg00001513,Gene4513,16,46520130,46520130,+,0.16,1.0,0.21,0.6,0.17,0.08,0.58,0.76,NA,0.74,0.84,0.63,0.03,0.15,0.58,0.24,0.95,0.45,0.4,0.9,0.32,0.81,0.87,0.51,NA,0.74,0.81,0.65,NA,0.41,0.12,0.89,0.95,0.29,0.75,1.0,0.84,0.47,0.28,0.44,0.59,0.13,0.43,0.15,0.84,0.29,0.44,NA,0.31,0.47
cg00001514,Gene864,7,80558824,80558824,+,0.2,0.7,0.63,0.19,0.02,0.59,0.81,0.93,0.25,0.85,0.49,0.26,0.67,0.41,0.69,0.17,0.21,0.82,0.82,0.19,0.91,0.6,0.39,0.76,0.74,0.47,0.8,0.41,0.75,0.91,0.71,0.83,0.56,NA,0.14,0.33,0.75,0.63,0.74,0.89,0.25,NA,0.35,0.01,0.21,0.54,0.79,0.89,NA,0.72
cg00001515,Gene4187,X,79180009,79180009,+,0.67,0.67,0.41,0.97,0.23,0.81,0.03,0.99,0.2,0.72,0.08,0.91,0.09,0.08,0.55,0.16,0.87,0.14,0.27,0.01,0.25,0.24,0.28,NA,0.61,0.34,0.87,NA,0.88,0.07,0.11,0.05,0.95,0.15,0.56,0.31,0.76,0.31,0.6,0.92,0.43,0.72,0.15,0.45,0.92,0.95,0.59,0.39,0.67,0.45
cg00001516,Gene1331,8,38459089,38459089,+,0.7,0.85,0.83,0.09,0.08,0.34,0.17,0.14,0.06,0.59,0.98,0.29,0.33,0.49,0.72,0.38,0.94,NA,0.49,0.54,0.21,NA,0.76,0.23,0.81,0.67,0.67,0.65,0.56,0.52,0.09,0.25,0.64,0.98,0.21,0.42,0.86,0.12,0.69,0.1,0.14,0.06,0.36,0.12,0.66,0.8,0.6,0.13,0.72,0.57
cg00001517,Gene2584,11,17293338,17293338,+,0.33,0.65,0.9,0.94,0.8,0.02,0.3,0.94,0.62,0.27,0.67,0.31,0.78,0.13,0.34,0.22,0.2,0.18,0.1,0.45,0.61,0.22,0.39,0.8,0.98,0.51,0.07,0.06,0.69,0.16,0.52,0.15,0.3,0.15,0.3,0.14,0.43,NA,0.87,0.74,0.04,0.23,0.4,0.87,0.72,NA,0.24,0.33,0.11,0.3
cg00001518,Gene3255,X,73445785,73445785,+,0.14,0.24,NA,0.06,0.97,NA,0.11,0.02,0.61,0.55,0.51,0.04,0.34,0.49,0.29,0.52,0.7,0.81,0.42,0.07,0.98,0.61,0.23,0.69,0.25,0.59,0.29,0.35,0.98,0.59,0.67,0.79,0.09,NA,0.25,0.22,0.18,NA,0.97,0.94,0.15,0.27,0.34,0.47,0.41,0.43,0.93,0.64,0.5,0.54
cg00001519,Gene639,22,94100803,94100803,+,0.67,0.7,0.43,0.18,NA,0.74,0.12,0.5,0.21,0.35,0.71,0.45,0.09,0.18,0.47,0.91,0.16,0.28,0.42,0.72,0.95,0.24,0.87,0.08,0.74,0.56,0.55,0.7,NA,0.6,0.47,0.07,0.05,0.93,0.06,NA,0.41,0.06,0.96,0.43,0.68,0.53,0.06,0.03,0.14,0.78,0.3,0.26,0.39,0.68
cg00001520,Gene2195,7,2269841,2269841,+,0.12,0.72,0.94,0.74,0.16,0.17,0.65,0.7,0.1,0.84,0.06,0.03,0.21,0.03,0.29,0.1,0.06,0.2,0.39,0.66,0.06,0.69,0.75,0.9,0.33,0.77,0.07,NA,0.98,0.55,0.17,NA,0.58,0.99,0.72,0.88,0.07,0.15,0.25,0.73,NA,0.63,0.63,0.23,0.06,0.47,0.61,0.74,0.68,0.86
cg00001521,Gene3785,12,99182138,99182138,-,0.78,0.35,0.15,0.38,NA,0.72,0.68,0.18,0.57,0.6,0.49,0.85,0.88,0.15,0.6,0.88,0.47,0.6,0.04,0.42,0.43,0.22,0.23,0.57,0.35,0.05,0.21,0.81,0.45,0.93,0.13,0.62,0.28,0.05,0.24,NA,0.06,0.98,NA,0.32,0.27,0.97,NA,0.57,0.84,0.44,0.22,0.76,0.67,0.76
cg00001522,Gene856,22,72530678,72530678,+,0.24,0.46,0.14,0.53,0.45,0.51,0.31,0.19,0.21,0.43,0.77,0.87,0.93,NA,NA,0.05,0.11,0.89,0.44,0.6,0.55,0.5,0.06,0.47,0.22,0.45,0.99,0.02,0.73,0.93,NA,0.27,0.64,0.61,0.51,0.47,0.16,0.68,0.08,0.17,0.69,0.51,0.07,0.43,1.0,0.81,0.56,0.15,0.7,0.75
cg00001523,Gene117,5,92889097,92889097,+,0.8,0.81,0.65,0.1,0.74,0.49,0.79,0.77,0.69,0.72,0.4,0.06,0.6,0.36,0.28,0.34,0.92,0.82,0.56,0.81,0.12,0.94,0.67,NA,0.75,0.8,0.52,0.92,NA,0.42,0.82,NA,0.12,0.2,0.0,0.24,0.36,0.77,0.15,0.82,0.94,0.79,0.51,0.82,0.76,0.53,0.59,1.0,0.09,0.85
cg00001524,Gene269,1,3243431,3243431,+,0.71,0.84,0.43,NA,0.93,0.33,0.94,0.61,0.12,0.3,0.56,0.66,0.4,0.76,0.05,0.28,0.48,0.55,0.81,0.41,0.66,NA,0.35,0.74,0.68,0.47,0.36,0.02,0.38,0.57,0.26,0.37,NA,0.03,NA,0.96,0.69,0.65,0.71,0.56,0.09,0.26,0.92,0.13,0.23,0.69,NA,0.79,0.87,0.53
cg00001525,Gene1386,10,86679865,86679865,+,0.72,0.86,0.94,0.24,0.78,0.97,0.76,0.85,0.39,0.61,0.69,0.63,0.29,0.43,0.15,0.83,0.8,0.53,0.06,0.41,0.44,NA,0.8,0.46,0.43,0.43,0.35,0.58,0.58,0.96,0.42,0.87,0.62,0.63,0.67,0.3,0.15,0.59,0.94,NA,0.14,NA,0.54,0.99,0.57,0.67,0.02,0.04,0.53,0.66
cg00001526,Gene533,17,51681915,51681915,-,0.16,0.02,0.24,0.32,0.98,0.98,0.64,0.32,0.43,0.46,0.81,0.04,0.49,0.33,0.8,0.07,0.29,0.25,0.24,0.55,NA,0.43,0.95,0.1,0.36,0.67,0.46,0.09,NA,0.28,0.83,NA,0.1,0.56,0.62,0.59,0.34,0.97,0.69,0.56,0.43,0.29,0.2,0.83,0.27,0.24,0.93,0.21,0.97,0.36
cg00001527,Gene2400,14,48959939,48959939,-,0.59,NA,0.67,0.27,0.72,0.99,0.57,0.15,0.43,0.3,0.04,0.81,0.15,0.33,0.73,0.85,0.47,0.96,0.91,0.9,NA,0.27,0.07,0.88,0.69,0.27,0.76,NA,0.32,0.48,0.43,0.72,0.36,0.61,0.22,0.89,0.14,0.71,0.41,NA,0.5,0.69,NA,0.42,0.45,0.41,0.12,0.34,0.81,0.47
cg00001528,Gene4498,12,82330383,82330383,+,0.77,0.45,1.0,0.77,0.75,0.43,NA,0.13,NA,0.16,0.34,0.38,NA,0.61,0.01,0.44,0.03,0.51,0.17,0.67,0.63,0.31,0.48,0.66,0.48,0.45,0.5,0.22,0.97,0.8,0.75,0.68,0.1,0.82,0.71,0.12,0.61,0.87,0.24,0.76,0.44,0.38,0.63,0.39,0.98,0.25,0.52,0.5,0.69,0.95
cg00001529,Gene2740,15,13614084,13614084,-,0.16,0.34,0.94,0.43,0.42,0.93,0.55,0.95,0.93,0.76,0.85,0.64,0.18,0.34,0.09,0.29,0.54,0.95,0.46,0.58,0.4,0.63,0.73,0.39,0.51,0.55,0.49,0.89,0.6,0.13,0.3,0.79,0.19,0.23,0.69,0.61,0.78,NA,0.65,0.8,0.99,0.65,0.34,0.94,0.81,0.39,0.96,0.35,0.13,0.68
cg00001530,Gene4911,10,57212987,57212987,+,0.22,0.49,0.15,0.89,0.81,0.19,0.21,0.85,0.41,0.23,0.96,0.34,0.64,0.46,0.43,0.09,0.96,0.35,0.58,0.83,0.91,NA,0.88,0.85,0.64,0.04,0.39,1.0,0.52,0.14,0.87,0.86,0.97,0.98,0.65,0.82,0.84,0.49,0.11,0.52,0.32,0.44,0.38,0.47,NA,0.43,0.27,0.09,0.08,0.82
cg00001531,Gene755,21,21419385,21419385,+,0.65,0.0,0.35,0.79,0.72,0.45,0.31,0.95,0.8,0.01,0.66,0.62,NA,0.63,NA,0.44,0.02,0.98,0.91,NA,0.44,0.0,0.86,0.46,0.18,0.31,0.03,0.27,0.22,0.37,0.45,0.86,0.76,0.67,0.74,0.37,0.02,0.41,0.41,0.58,0.71,0.85,0.16,0.9,0.09,0.6,0.08,0.77,0.15,0.51
cg00001532,Gene2095,17,96756621,96756621,-,0.74,0.04,0.44,0.16,0.76,0.39,0.97,0.81,0.23,0.11,0.85,0.25,0.32,0.93,0.73,0.51,0.99,0.64,0.96,0.35,0.53,0.17,0.3,0.31,0.13,0.42,0.3,0.23,0.59,0.8,0.72,NA,0.81,0.85,0.44,0.31,0.37,0.66,0.84,0.44,0.79,0.87,0.94,0.13,0.86,0.21,0.46,0.38,0.02,0.55
cg00001533,Gene2233,11,34053849,34053849,+,NA,0.41,0.93,0.06,0.6,0.54,0.24,0.59,0.06,0.49,0.08,0.86,0.85,0.41,0.09,0.23,0.03,0.41,0.81,0.55,0.15,NA,0.07,0.96,0.24,0.15,0.47,0.76,0.36,NA,0.86,0.88,0.35,0.67,0.66,0.04,0.28,0.32,0.68,0.6,0.67,0.88,0.67,NA,0.3,0.5,0.16,0.05,0.61,0.56
cg00001534,Gene3082,17,85729113,85729113,+,0.26,0.29,0.91,0.35,0.05,0.35,0.63,0.21,0.79,0.76,0.93,0.54,0.79,0.56,0.4,0.86,0.15,0.05,0.64,0.73,0.97,0.05,0.33,0.61,0.02,0.88,0.54,0.07,0.72,0.24,0.55,0.77,NA,0.25,NA,0.46,0.12,0.46,0.6,0.64,0.18,0.59,NA,0.26,0.75,0.83,0.24,0.69,0.32,0.03
cg00001535,Gene2352,4,56297523,56297523,-,0.3,0.12,0.62,0.67,0.5,NA,0.6,0.22,0.26,0.99,0.62,0.22,0.77,0.24,0.84,0.94,0.0,0.31,0.78,0.32,0.66,0.82,0.74,0.36,0.91,0.88,0.75,0.8,0.37,0.33,NA,0.32,0.39,0.5,0.02,0.02,0.32,0.03,0.73,0.44,0.61,NA,0.06,0.3,0.21,0.75,0.28,0.47,0.2,0.51
cg00001536,Gene4229,2,9868371,9868371,-,0.11,0.51,0.63,0.5,0.58,0.45,0.62,0.1,0.1,0.59,0.64,0.23,0.14,0.75,0.1,0.11,0.93,0.62,0.56,0.77,0.93,0.09,0.98,0.35,0.53,0.41,0.46,0.57,0.48,0.15,0.38,0.15,0.99,0.02,0.84,0.63,NA,0.92,0.62,0.53,0.13,0.7,0.67,0.38,0.11,0.05,0.74,0.02,0.33,0.02
cg00001537,Gene2266,21,39263300,39263300,-,0.93,0.04,0.02,0.9,0.46,0.73,NA,0.89,0.42,0.31,0.31,0.14,0.42,0.44,0.43,0.31,0.52,0.45,0.58,0.55,0.51,0.55,0.85,0.32,0.37,0.55,0.25,0.93,0.33,0.04,0.19,0.29,0.74,0.45,0.57,0.12,0.08,0.51,0.87,0.82,0.6,0.5,0.82,0.6,0.72,0.09,0.5,0.0,0.59,0.33
cg00001538,Gene4771,7,13665109,13665109,+,0.8,0.86,0.57,0.95,0.86,0.36,0.02,0.69,0.06,0.61,0.19,0.27,0.81,0.37,0.34,0.52,0.64,0.03,0.56,0.83,0.61,0.49,0.76,0.06,0.02,0.48,0.67,0.67,0.44,0.91,0.35,0.72,0.29,NA,0.19,0.81,0.67,0.48,0.37,0.2,0.61,0.21,0.21,0.08,0.46,0.54,0.47,0.71,0.37,0.88
cg00001539,Gene1041,6,11087740,11087740,-,0.99,0.83,0.5,0.14,0.26,0.77,0.61,0.32,1.0,0.56,0.12,0.05,0.28,0.58,0.32,NA,0.32,0.6,0.84,0.02,0.9,0.94,0.45,0.64,0.83,0.9,0.88,0.76,0.46,0.65,0.98,0.28,0.38,0.03,0.05,0.8,0.28,0.53,0.54,0.16,0.87,0.07,NA,0.84,0.33,0.97,0.73,0.67,0.06,0.05
cg00001540,Gene4290,11,37572968,37572968,-,0.1,0.73,0.76,0.19,0.61,0.91,NA,0.76,0.06,0.07,0.69,0.01,0.72,0.43,0.48,0.87,0.72,0.6,0.38,0.54,0.95,0.51,0.82,0.02,0.19,0.99,0.05,0.08,0.17,0.66,NA,0.59,0.39,0.56,0.52,0.17,0.52,0.98,0.23,0.96,0.45,0.6,0.29,0.24,0.57,0.32,0.57,0.38,0.17,0.55
cg00001541,Gene2981,16,99959244,99959244,-,0.96,0.76,0.86,0.33,0.5,0.34,0.59,0.55,0.95,0.92,NA,0.65,0.4,0.93,0.1,0.56,0.69,0.99,0.81,0.09,0.84,0.54,0.23,0.71,0.52,0.13,0.65,0.6,0.75,0.33,0.93,0.47,0.53,0.62,0.12,0.57,0.71,0.66,0.76,0.51,0.33,0.05,0.86,0.35,0.21,0.32,0.54,0.39,0.55,0.42
